AGI	Gene Name	Short Description	T1_Ax_Pst vs Ax_CTL_log2FC	T1_Ax_Pst vs Ax_CTL_FDR	T2_Ax_Pst vs Ax_CTL_log2FC	T2_Ax_Pst vs Ax_CTL_FDR	color
AT5G04340	ZAT6	zinc finger of Arabidopsis thaliana 6	0.58	5.6E-01	1.30	9.9E-03	orange
AT2G15960			0.39	7.6E-02	1.29	2.3E-16	orange
AT1G56660			-0.02	9.9E-01	1.29	6.8E-03	orange
AT3G51960	BZIP24	basic leucine zipper 24	0.19	7.4E-01	1.29	2.0E-11	orange
AT3G16530		Legume lectin family protein	-0.19	9.6E-01	1.29	3.4E-02	orange
AT2G21350		RNA-binding CRS1 / YhbY (CRM) domain protein	-0.25	9.0E-01	1.29	3.4E-04	orange
AT5G13200		GRAM domain family protein	0.29	6.3E-01	1.29	3.9E-09	orange
AT3G55840		Hs1pro-1 protein	-0.17	9.5E-01	1.28	1.0E-02	orange
AT4G21570		Protein of unknown function (DUF300)	0.42	1.7E-01	1.28	1.3E-12	orange
AT5G49480	CP1	Ca2+-binding protein 1	0.57	8.5E-03	1.28	1.5E-07	orange
AT1G24792			0.69	5.7E-01	1.27	2.5E-03	orange
AT5G60730		Anion-transporting ATPase	0.18	9.5E-01	1.27	8.7E-03	orange
AT1G05100	MAPKKK18	mitogen-activated protein kinase kinase kinase 18	0.65	6.6E-01	1.27	8.8E-03	orange
AT5G64660	CMPG2	"CYS, MET, PRO, and GLY protein 2"	0.23	8.2E-01	1.27	1.5E-07	orange
AT2G23340	DEAR3	DREB and EAR motif protein 3	0.43	1.7E-01	1.27	5.3E-09	orange
AT1G22570		Major facilitator superfamily protein	0.39	2.3E-01	1.26	7.2E-07	orange
AT4G11280	ACS6	1-aminocyclopropane-1-carboxylic acid (acc) synthase 6	0.14	9.4E-01	1.26	6.5E-05	orange
AT1G24625	ZFP7	zinc finger protein 7	0.52	8.6E-06	1.26	4.0E-14	orange
AT5G33290	XGD1	xylogalacturonan deficient 1	0.57	6.5E-04	1.26	8.3E-11	orange
AT4G12080	AHL1	AT-hook motif nuclear-localized protein 1	0.40	6.1E-01	1.25	1.7E-03	orange
AT1G61560	MLO6	Seven transmembrane MLO family protein	0.71	2.0E-01	1.25	5.5E-04	orange
AT1G07128			0.63	6.9E-01	1.25	1.2E-02	orange
AT5G09420	TOC64-V	translocon at the outer membrane of chloroplasts 64-V	0.08	9.5E-01	1.24	2.1E-07	orange
AT2G46270	GBF3	G-box binding factor 3	-0.03	9.9E-01	1.24	1.1E-06	orange
AT3G05936			0.26	7.7E-01	1.24	7.2E-10	orange
AT3G09830		Protein kinase superfamily protein	0.50	1.1E-01	1.24	1.4E-07	orange
AT4G02380	SAG21	senescence-associated gene 21	0.14	9.4E-01	1.24	7.5E-03	orange
AT4G23320	CRK24	cysteine-rich RLK (RECEPTOR-like protein kinase) 24	0.04	9.9E-01	1.24	1.2E-02	orange
AT3G15210	ERF4	ethylene responsive element binding factor 4	0.27	9.2E-01	1.23	2.5E-06	orange
AT5G17350			-0.33	9.1E-01	1.23	3.6E-02	orange
AT1G69790		Protein kinase superfamily protein	0.47	5.6E-02	1.23	2.5E-10	orange
AT5G64310	AGP1	arabinogalactan protein 1	-0.18	9.3E-01	1.23	5.7E-06	orange
AT3G44798		other RNA	0.52	1.9E-02	1.23	1.8E-15	orange
AT3G22240			0.21	9.4E-01	1.23	1.4E-02	orange
AT5G15240		Transmembrane amino acid transporter family protein	0.54	5.3E-02	1.23	5.8E-06	orange
AT2G01023			0.72	7.5E-01	1.23	2.7E-02	orange
AT5G60300	LecRK-I.9	Concanavalin A-like lectin protein kinase family protein	0.44	2.4E-02	1.23	2.7E-11	orange
AT5G42050		DCD (Development and Cell Death) domain protein	0.29	5.6E-01	1.22	3.5E-11	orange
AT2G35550	BPC7	basic pentacysteine 7	0.22	8.8E-01	1.22	1.4E-03	orange
AT3G03910	GDH3	glutamate dehydrogenase 3	0.24	9.2E-01	1.22	3.7E-05	orange
AT3G59080		Eukaryotic aspartyl protease family protein	0.21	9.2E-01	1.22	4.6E-05	orange
AT3G28930	AIG2	AIG2-like (avirulence induced gene) family protein	0.54	8.1E-04	1.22	2.5E-06	orange
AT2G05260		alpha/beta-Hydrolases superfamily protein	0.41	7.2E-02	1.22	3.9E-11	orange
AT5G02260	EXPA9	expansin A9	0.47	8.9E-02	1.22	4.0E-06	orange
AT3G11580		AP2/B3-like transcriptional factor family protein	0.33	2.4E-01	1.22	3.7E-08	orange
AT4G38810		Calcium-binding EF-hand family protein	0.38	2.2E-02	1.21	1.6E-07	orange
AT4G26850	VTC2	mannose-1-phosphate guanylyltransferase (GDP)s;GDP-galactose:mannose-1-phosphate guanylyltransferases;GDP-galactose:glucose-1-phosphate guanylyltransferases;GDP-galactose:myoinositol-1-phosphate guanylyltransferases;glucose-1-phosphate guanylyltransferase	0.46	4.5E-04	1.21	3.7E-11	orange
AT4G36500			0.27	7.3E-01	1.21	2.2E-08	orange
AT2G25450		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	0.43	1.7E-03	1.21	5.0E-13	orange
AT2G30250	WRKY25	WRKY DNA-binding protein 25	0.21	7.6E-01	1.21	3.1E-06	orange
AT2G47470	UNE5	thioredoxin family protein	0.53	2.3E-05	1.21	2.1E-12	orange
AT2G39240		RNA polymerase I specific transcription initiation factor RRN3 protein	0.25	7.5E-01	1.21	1.6E-09	orange
AT3G56880		VQ motif-containing protein	-0.04	9.9E-01	1.21	4.8E-07	orange
AT3G49530	NAC062	NAC domain containing protein 62	0.27	7.3E-01	1.21	1.2E-12	orange
AT5G64260	EXL2	EXORDIUM like 2	0.21	9.0E-01	1.21	6.5E-07	orange
AT1G66920		Protein kinase superfamily protein	0.68	1.4E-01	1.21	3.3E-04	orange
AT5G66590		"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein"	0.30	3.1E-01	1.20	1.3E-07	orange
AT3G05120	GID1A	alpha/beta-Hydrolases superfamily protein	0.49	1.5E-06	1.20	2.5E-14	orange
AT5G58570			0.26	8.8E-01	1.20	1.5E-03	orange
AT3G32980		Peroxidase superfamily protein	0.75	5.8E-02	1.20	1.7E-06	orange
AT5G17300	RVE1	Homeodomain-like superfamily protein	-0.15	9.4E-01	1.20	1.9E-03	orange
AT2G48090			0.02	9.9E-01	1.20	3.3E-03	orange
AT1G18740		Protein of unknown function (DUF793)	0.38	5.8E-01	1.20	5.4E-06	orange
AT4G29850		Eukaryotic protein of unknown function (DUF872)	-0.01	1.0E+00	1.19	1.2E-02	orange
AT3G07350		Protein of unknown function (DUF506) 	0.29	8.5E-01	1.19	2.3E-05	orange
AT1G09500		NAD(P)-binding Rossmann-fold superfamily protein	0.48	5.1E-01	1.19	5.3E-03	orange
AT4G25470	CBF2	C-repeat/DRE binding factor 2	0.24	9.6E-01	1.19	1.1E-02	orange
AT1G57990	PUP18	purine permease 18	0.13	9.6E-01	1.19	1.4E-03	orange
AT3G11010	RLP34	receptor like protein 34	0.15	9.2E-01	1.18	1.1E-02	orange
AT3G57530	CPK32	calcium-dependent protein kinase 32	0.32	7.7E-01	1.18	1.4E-11	orange
AT2G46400	WRKY46	WRKY DNA-binding protein 46	0.30	8.8E-01	1.18	4.8E-03	orange
AT5G12420		O-acyltransferase (WSD1-like) family protein	0.61	3.8E-01	1.18	1.4E-03	orange
AT1G43980		Tetratricopeptide repeat (TPR)-like superfamily protein	-0.16	9.4E-01	1.17	5.0E-05	orange
AT5G06750		Protein phosphatase 2C family protein	0.26	3.3E-01	1.17	1.9E-09	orange
AT1G70290	TPS8	trehalose-6-phosphatase synthase S8	0.27	8.6E-01	1.17	1.1E-06	orange
AT1G23100		GroES-like family protein	0.05	9.7E-01	1.17	4.6E-06	orange
AT4G25433		peptidoglycan-binding LysM domain-containing protein	0.46	7.1E-01	1.17	7.0E-04	orange
AT3G07650	COL9	CONSTANS-like 9	-0.16	9.3E-01	1.17	4.0E-04	orange
AT3G14870		Plant protein of unknown function (DUF641)	0.18	8.3E-01	1.16	3.0E-04	orange
AT3G47750	ABCA4	ATP binding cassette subfamily A4	0.34	3.2E-01	1.16	1.4E-14	orange
AT3G02150	PTF1	plastid transcription factor 1	0.20	6.4E-01	1.16	4.3E-07	orange
AT2G23320	WRKY15	WRKY DNA-binding protein 15	0.05	9.8E-01	1.16	2.9E-06	orange
AT5G50950	FUM2	FUMARASE 2	0.45	5.5E-03	1.16	6.3E-14	orange
AT5G60142		AP2/B3-like transcriptional factor family protein	0.65	3.3E-01	1.16	5.7E-04	orange
AT3G47960		Major facilitator superfamily protein	0.57	1.8E-02	1.16	1.2E-09	orange
AT5G59780	MYB59	myb domain protein 59	0.21	5.0E-01	1.15	1.4E-07	orange
AT3G06890			0.46	7.2E-01	1.15	1.1E-02	orange
AT1G32700		PLATZ transcription factor family protein	0.29	2.6E-01	1.15	7.0E-10	orange
AT4G27657			0.59	6.7E-01	1.15	2.8E-05	orange
AT3G58710	WRKY69	WRKY DNA-binding protein 69	0.20	6.8E-01	1.14	4.2E-07	orange
AT1G65486			0.14	9.6E-01	1.14	1.9E-03	orange
AT2G01008			0.18	8.5E-01	1.14	5.6E-06	orange
AT3G09520	EXO70H4	exocyst subunit exo70 family protein H4	0.96	1.9E-01	1.14	2.5E-03	orange
AT5G58690	PLC5	phosphatidylinositol-speciwc phospholipase C5	0.17	7.4E-01	1.14	5.5E-07	orange
AT5G07660	SMC6A	structural maintenance of chromosomes 6A	0.61	5.4E-02	1.14	2.0E-04	orange
AT1G67865			0.19	7.4E-01	1.14	3.7E-07	orange
AT5G45110	NPR3	NPR1-like protein 3	0.44	8.2E-02	1.14	2.9E-09	orange
AT3G46600		GRAS family transcription factor	0.19	9.3E-01	1.14	2.9E-05	orange
AT1G77405		Pentatricopeptide repeat (PPR) superfamily protein	0.09	9.7E-01	1.14	8.8E-04	orange
AT4G20830		FAD-binding Berberine family protein	0.35	3.3E-01	1.14	7.0E-05	orange
AT5G45990		"crooked neck protein, putative / cell cycle protein, putative"	0.40	7.4E-01	1.13	1.7E-04	orange
AT3G47840		Tetratricopeptide repeat (TPR)-like superfamily protein	0.14	9.4E-01	1.13	4.0E-05	orange
AT3G49120	PRXCB	peroxidase CB	0.53	1.6E-02	1.13	2.4E-03	orange
AT5G64990	RABH1a	RAB GTPase homolog H1A	0.28	8.8E-01	1.13	4.7E-05	orange
AT1G80120		Protein of unknown function (DUF567)	0.69	1.6E-01	1.13	3.5E-06	orange
AT2G25510			0.12	8.3E-01	1.13	1.1E-04	orange
AT5G59730	EXO70H7	exocyst subunit exo70 family protein H7	0.47	2.3E-01	1.13	8.4E-08	orange
AT4G33050	EDA39	calmodulin-binding family protein	0.49	2.8E-01	1.13	8.4E-04	orange
AT2G26740	SEH	soluble epoxide hydrolase	0.38	4.4E-04	1.13	4.6E-14	orange
AT1G48000	MYB112	myb domain protein 112	-0.11	9.7E-01	1.13	2.8E-02	orange
AT3G62010			0.55	6.0E-07	1.13	1.1E-14	orange
AT1G80610			0.03	9.9E-01	1.12	5.1E-06	orange
AT1G52450		Ubiquitin carboxyl-terminal hydrolase-related protein	-0.14	9.3E-01	1.12	9.4E-06	orange
AT1G52710		Rubredoxin-like superfamily protein	0.51	5.7E-02	1.12	1.5E-09	orange
AT1G34210	SERK2	somatic embryogenesis receptor-like kinase 2	0.44	1.9E-06	1.12	2.1E-12	orange
AT5G45850		Protein of unknown function (DUF688)	0.53	9.8E-02	1.12	3.5E-05	orange
AT3G14900	EMB3120		-0.03	9.8E-01	1.12	2.2E-10	orange
AT5G19240		Glycoprotein membrane precursor GPI-anchored	0.07	9.8E-01	1.12	3.0E-05	orange
AT1G74010		Calcium-dependent phosphotriesterase superfamily protein	0.87	3.2E-01	1.12	4.6E-02	orange
AT5G35735		Auxin-responsive family protein	0.62	9.0E-02	1.12	3.3E-04	orange
AT1G73040		Mannose-binding lectin superfamily protein	0.31	6.4E-01	1.11	1.8E-04	orange
AT2G29500		HSP20-like chaperones superfamily protein	0.56	3.4E-01	1.11	5.9E-03	orange
AT3G06550	RWA2	O-acetyltransferase family protein	0.48	4.8E-07	1.11	1.6E-16	orange
AT3G19100		Protein kinase superfamily protein	0.38	3.5E-02	1.11	1.0E-10	orange
AT5G40780	LHT1	lysine histidine transporter 1	0.20	9.1E-01	1.11	1.2E-02	orange
AT5G50570	SPL13A	Squamosa promoter-binding protein-like (SBP domain) transcription factor family protein	0.63	5.3E-01	1.10	1.1E-03	orange
AT3G21460		Glutaredoxin family protein	-0.59	3.7E-01	1.10	1.3E-07	orange
AT4G33700		CBS domain-containing protein with a domain of unknown function (DUF21)	0.50	4.0E-06	1.10	1.3E-19	orange
AT1G49520		SWIB complex BAF60b domain-containing protein	0.54	5.4E-03	1.10	3.3E-08	orange
AT5G46350	WRKY8	WRKY DNA-binding protein 8	0.58	5.5E-01	1.10	2.2E-02	orange
AT2G07719		Putative membrane lipoprotein	-0.18	9.5E-01	1.10	1.3E-03	orange
AT4G33980			0.16	9.7E-01	1.10	4.6E-02	orange
AT1G31820	PUT1	Amino acid permease family protein	0.26	5.5E-01	1.10	9.3E-08	orange
AT1G05730		Eukaryotic protein of unknown function (DUF842)	-0.06	9.8E-01	1.10	1.6E-03	orange
AT3G13770		Pentatricopeptide repeat (PPR) superfamily protein	0.18	8.9E-01	1.10	5.0E-05	orange
AT4G28330			0.59	5.0E-01	1.10	3.5E-03	orange
AT1G17340		Phosphoinositide phosphatase family protein	0.28	4.9E-02	1.10	2.2E-12	orange
AT3G07760		Sterile alpha motif (SAM) domain-containing protein	0.20	5.3E-01	1.10	1.6E-12	orange
AT2G03380		Pentatricopeptide repeat (PPR) superfamily protein	-0.13	9.3E-01	1.10	2.5E-05	orange
AT5G58710	ROC7	rotamase CYP 7	0.43	5.2E-04	1.10	4.0E-14	orange
AT5G46140		Protein of unknown function (DUF295)	0.14	9.6E-01	1.09	3.9E-03	orange
AT1G15870		Mitochondrial glycoprotein family protein	0.11	9.6E-01	1.09	6.5E-04	orange
AT4G36010		Pathogenesis-related thaumatin superfamily protein	0.12	9.5E-01	1.09	1.0E-03	orange
AT5G11810			0.57	2.2E-07	1.09	1.6E-16	orange
AT5G04895	ABO6	DEA(D/H)-box RNA helicase family protein	0.20	7.4E-01	1.09	1.6E-09	orange
AT1G67265	RTFL21	ROTUNDIFOLIA like 21	0.56	7.8E-01	1.09	4.2E-02	orange
AT5G65140	TPPJ	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	0.04	9.7E-01	1.08	4.9E-15	orange
AT5G63490		CBS / octicosapeptide/Phox/Bemp1 (PB1) domains-containing protein	0.46	4.6E-06	1.08	9.8E-09	orange
AT4G19230	CYP707A1	"cytochrome P450, family 707, subfamily A, polypeptide 1"	0.39	5.6E-01	1.08	1.1E-05	orange
AT3G01570		Oleosin family protein	-0.11	9.7E-01	1.08	7.4E-03	orange
AT1G23710		Protein of unknown function (DUF1645)	0.18	9.3E-01	1.08	2.3E-03	orange
AT5G44005			0.06	9.5E-01	1.08	1.2E-06	orange
AT2G07739		Ycf1 protein	0.69	5.9E-01	1.08	3.5E-03	orange
AT2G16890		UDP-Glycosyltransferase superfamily protein	0.37	4.9E-01	1.08	5.8E-04	orange
AT1G63440	HMA5	heavy metal atpase 5	0.31	3.4E-01	1.08	2.3E-04	orange
AT3G56770		basic helix-loop-helix (bHLH) DNA-binding superfamily protein	-0.04	9.9E-01	1.08	1.8E-02	orange
AT1G11220		Protein of unknown function (DUF761)	0.02	9.9E-01	1.07	9.0E-03	orange
AT5G13750	ZIFL1	zinc induced facilitator-like 1	0.48	1.3E-02	1.07	1.8E-06	orange
AT5G07700	MYB76	myb domain protein 76	0.36	1.7E-01	1.07	1.4E-13	orange
AT1G69870	NRT1.7	nitrate transporter 1.7	0.28	3.6E-01	1.07	2.6E-05	orange
AT2G35658			-0.13	9.6E-01	1.07	9.6E-03	orange
AT5G45380	DUR3	solute:sodium symporters;urea transmembrane transporters	0.24	8.9E-01	1.07	4.6E-03	orange
AT3G51430	YLS2	Calcium-dependent phosphotriesterase superfamily protein	0.33	5.5E-01	1.07	3.2E-04	orange
AT5G41620			0.57	2.6E-04	1.07	1.3E-12	orange
AT4G04180		P-loop containing nucleoside triphosphate hydrolases superfamily protein	0.18	8.3E-01	1.07	2.3E-07	orange
AT3G26090	RGS1	G-protein coupled receptors;GTPase activators	0.43	2.0E-02	1.07	5.0E-08	orange
AT1G08290	WIP3	WIP domain protein 3	0.29	8.4E-01	1.06	1.0E-02	orange
AT1G53580	GLY3	glyoxalase II  3	0.46	8.2E-06	1.06	1.6E-12	orange
AT4G18880	HSF A4A	heat shock transcription factor  A4A	0.10	9.4E-01	1.06	4.8E-07	orange
AT1G27350		Ribosome associated membrane protein RAMP4	0.57	1.9E-06	1.06	2.6E-12	orange
AT5G24920	GDU5	glutamine dumper 5	0.54	7.0E-01	1.06	1.5E-02	orange
AT5G24530	DMR6	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	0.23	8.7E-01	1.06	8.8E-03	orange
AT1G27770	ACA1	autoinhibited Ca2+-ATPase 1	0.15	9.2E-01	1.06	1.4E-09	orange
AT3G48830		polynucleotide adenylyltransferase family protein / RNA recognition motif (RRM)-containing protein	0.18	7.4E-01	1.06	1.3E-08	orange
AT2G28305	LOG1	Putative lysine decarboxylase family protein	0.13	8.3E-01	1.06	4.0E-11	orange
AT5G49410			0.21	8.5E-01	1.06	1.6E-05	orange
AT5G10946			0.30	3.7E-01	1.06	3.1E-10	orange
AT5G63130		Octicosapeptide/Phox/Bem1p family protein	0.28	9.1E-01	1.06	5.0E-03	orange
AT5G24090	CHIA	chitinase A	-0.21	9.3E-01	1.05	3.2E-03	orange
AT3G27620	AOX1C	alternative oxidase 1C	0.28	8.3E-01	1.05	3.8E-02	orange
AT4G15260		UDP-Glycosyltransferase superfamily protein	0.52	4.6E-03	1.05	4.9E-07	orange
AT3G27210			0.21	8.9E-01	1.05	1.9E-04	orange
AT4G34150		Calcium-dependent lipid-binding (CaLB domain) family protein	0.06	9.7E-01	1.05	1.4E-08	orange
AT3G56550		Pentatricopeptide repeat (PPR) superfamily protein	0.01	1.0E+00	1.05	4.2E-03	orange
AT5G18290	SIP1;2	Aquaporin-like superfamily protein	0.58	1.4E-01	1.05	2.3E-04	orange
AT5G13205		transposable element gene	0.35	4.7E-01	1.05	1.0E-04	orange
AT2G41475		"Embryo-specific protein 3, (ATS3)"	0.32	1.5E-01	1.05	4.3E-09	orange
AT1G72910		Toll-Interleukin-Resistance (TIR) domain-containing protein	0.23	8.9E-01	1.05	1.4E-03	orange
AT1G14010		emp24/gp25L/p24 family/GOLD family protein	0.42	1.9E-04	1.05	1.7E-10	orange
AT5G54610	ANK	ankyrin	0.10	9.7E-01	1.05	2.5E-02	orange
AT1G69310	WRKY57	WRKY DNA-binding protein 57	0.09	9.3E-01	1.05	3.3E-05	orange
AT1G19190		alpha/beta-Hydrolases superfamily protein	0.75	5.1E-01	1.04	1.5E-02	orange
AT3G13100	ABCC7	multidrug resistance-associated protein 7	0.48	2.0E-01	1.04	6.7E-04	orange
AT5G18490		Plant protein of unknown function (DUF946)	0.27	4.3E-01	1.04	1.2E-04	orange
AT1G19210		Integrase-type DNA-binding superfamily protein	0.19	9.3E-01	1.04	2.2E-02	orange
AT5G25930		Protein kinase family protein with leucine-rich repeat domain	0.33	7.8E-01	1.04	4.1E-02	orange
AT3G05380	ALY2	DIRP ;Myb-like DNA-binding domain	0.38	5.4E-03	1.04	1.9E-12	orange
AT1G27290			-0.03	9.9E-01	1.04	1.9E-05	orange
AT5G50360			0.26	9.4E-01	1.04	2.5E-02	orange
AT4G39890	RABH1c	RAB GTPase homolog H1C	0.05	9.8E-01	1.04	1.6E-03	orange
AT5G04080			0.11	8.2E-01	1.03	1.2E-10	orange
AT1G65110		Ubiquitin carboxyl-terminal hydrolase-related protein	0.30	9.2E-01	1.03	4.9E-03	orange
AT1G61065		Protein of unknown function (DUF1218)	0.44	1.9E-01	1.03	2.0E-06	orange
AT2G04032	ZIP7	zinc transporter 7 precursor	0.52	3.1E-01	1.03	1.4E-03	orange
AT2G28510		Dof-type zinc finger DNA-binding family protein	0.02	9.8E-01	1.03	6.7E-05	orange
AT5G25980	TGG2	glucoside glucohydrolase 2	0.50	1.5E-02	1.03	4.5E-08	orange
AT5G06860	PGIP1	polygalacturonase inhibiting protein 1	0.18	8.5E-01	1.03	4.2E-05	orange
AT1G70830	MLP28	MLP-like protein 28	0.10	9.2E-01	1.03	4.4E-10	orange
AT4G21326	SBT3.12	subtilase 3.12	0.37	1.3E-01	1.03	4.2E-09	orange
AT5G26340	MSS1	Major facilitator superfamily protein	0.21	6.1E-01	1.03	7.4E-06	orange
AT5G07460	PMSR2	peptidemethionine sulfoxide reductase 2	0.58	1.4E-05	1.03	2.2E-19	orange
AT1G33610		Leucine-rich repeat (LRR) family protein	0.13	9.6E-01	1.03	2.9E-03	orange
AT4G26255		other RNA	0.74	1.5E-01	1.03	2.4E-02	orange
AT3G57520	SIP2	seed imbibition 2	0.48	1.3E-01	1.03	1.7E-03	orange
AT3G14720	MPK19	MAP kinase 19	0.54	1.4E-05	1.03	6.9E-14	orange
AT5G02400	PLL2	pol-like 2	-0.15	9.3E-01	1.02	1.5E-03	orange
AT1G56430	NAS4	nicotianamine synthase 4	-0.18	8.1E-01	1.02	2.5E-04	orange
AT2G34240		Protein with domains of unknown function DUF627 and DUF632	-0.12	9.6E-01	1.02	1.2E-03	orange
AT4G14420		HR-like lesion-inducing protein-related	0.53	2.9E-04	1.02	5.3E-11	orange
AT3G54960	PDIL1-3	PDI-like 1-3	0.12	8.9E-01	1.02	1.1E-04	orange
AT4G04810	MSRB4	methionine sulfoxide reductase B4	0.47	3.2E-02	1.02	2.4E-07	orange
AT3G50420		Pentatricopeptide repeat (PPR) superfamily protein	0.00	1.0E+00	1.02	4.4E-05	orange
AT1G71100	RSW10	"Ribose 5-phosphate isomerase, type A protein"	0.21	6.2E-01	1.02	4.4E-06	orange
AT5G27110		Tetratricopeptide repeat (TPR)-like superfamily protein	0.09	9.5E-01	1.02	3.5E-06	orange
AT2G41010	CAMBP25	calmodulin (CAM)-binding protein of 25 kDa	0.28	8.6E-01	1.02	8.7E-06	orange
AT3G13910		Protein of unknown function (DUF3511)	0.49	6.7E-02	1.02	9.6E-05	orange
AT5G66070		RING/U-box superfamily protein	0.31	6.1E-01	1.01	1.3E-05	orange
AT5G48380	BIR1	BAK1-interacting receptor-like kinase 1	0.32	5.1E-01	1.01	3.6E-04	orange
AT1G06180	MYB13	myb domain protein 13	0.18	7.8E-01	1.01	3.1E-07	orange
AT1G24148			0.25	1.9E-01	1.01	8.4E-11	orange
AT5G67180	TOE3	target of early activation tagged (EAT) 3	0.40	1.2E-02	1.01	3.6E-09	orange
AT1G52430		Ubiquitin carboxyl-terminal hydrolase-related protein	0.12	9.6E-01	1.01	7.0E-04	orange
AT5G58670	PLC1	phospholipase C1	0.43	7.8E-03	1.01	6.1E-06	orange
AT2G16595		"Translocon-associated protein (TRAP), alpha subunit"	-0.01	1.0E+00	1.01	2.8E-07	orange
AT3G23570		alpha/beta-Hydrolases superfamily protein	0.57	1.6E-07	1.00	3.2E-21	orange
AT5G24590	TIP;ANAC091	TCV-interacting protein	0.17	8.8E-01	1.00	8.2E-11	orange
AT1G67470		Protein kinase superfamily protein	-0.05	9.8E-01	1.00	3.6E-06	orange
AT4G33985		Protein of unknown function (DUF1685)	-0.16	9.2E-01	1.00	1.7E-02	orange
AT2G26190		calmodulin-binding family protein	0.13	9.5E-01	1.00	2.8E-05	orange
AT1G73540	NUDT21	nudix hydrolase homolog 21	0.04	9.8E-01	1.00	8.2E-05	orange
AT3G01930		Major facilitator superfamily protein	0.57	5.5E-05	1.00	2.9E-10	orange
AT1G77360	APPR6	Tetratricopeptide repeat (TPR)-like superfamily protein	0.40	6.6E-01	1.00	1.8E-04	orange
AT4G24120	YSL1	YELLOW STRIPE like 1	-0.02	9.9E-01	-1.00	1.7E-07	orange
AT4G30960	SIP3	SOS3-interacting protein 3	-0.26	1.8E-01	-1.00	2.2E-08	orange
AT1G04520	PDLP2	plasmodesmata-located protein 2	-0.27	2.6E-01	-1.00	1.9E-04	orange
AT1G46768	RAP2.1	related to AP2 1	-0.52	1.3E-01	-1.00	3.4E-04	orange
AT1G55760		BTB/POZ domain-containing protein	-0.27	3.7E-01	-1.00	1.1E-09	orange
AT3G10520	HB2	haemoglobin 2	-0.22	5.7E-01	-1.01	3.3E-07	orange
AT1G31485		other RNA	0.12	9.7E-01	-1.01	4.8E-02	orange
AT1G09310		"Protein of unknown function, DUF538"	-0.21	3.0E-01	-1.01	1.1E-06	orange
AT1G18710	MYB47	myb domain protein 47	0.56	5.3E-01	-1.01	7.0E-05	orange
AT5G27895		transposable element gene	-0.27	8.3E-01	-1.01	3.6E-02	orange
AT3G09730			-0.15	8.6E-01	-1.01	1.5E-06	orange
AT2G39880	MYB25	myb domain protein 25	-0.53	9.3E-02	-1.01	4.4E-03	orange
AT5G10400		Histone superfamily protein	-0.24	4.4E-01	-1.01	1.5E-06	orange
AT4G14140	DMT2	DNA methyltransferase 2	-0.37	7.1E-01	-1.02	2.8E-03	orange
AT4G05520	EHD2	EPS15 homology domain 2	-0.16	7.7E-01	-1.02	1.2E-07	orange
AT1G54385		ARM repeat superfamily protein	-0.17	7.7E-01	-1.02	6.1E-06	orange
AT3G06070			-0.41	6.3E-01	-1.02	1.3E-03	orange
AT3G16380	PAB6	poly(A) binding protein 6	0.05	9.8E-01	-1.02	5.6E-03	orange
AT5G20870		O-Glycosyl hydrolases family 17 protein	-0.16	9.1E-01	-1.02	2.6E-03	orange
AT3G53650		Histone superfamily protein	-0.37	5.5E-01	-1.02	9.1E-04	orange
AT4G01580		AP2/B3-like transcriptional factor family protein	-0.39	3.3E-01	-1.03	1.2E-03	orange
AT2G18969			0.17	9.4E-01	-1.03	1.4E-02	orange
AT1G29420		SAUR-like auxin-responsive protein family 	-0.40	6.9E-01	-1.03	6.8E-03	orange
AT4G27290		S-locus lectin protein kinase family protein	-0.31	8.5E-01	-1.03	7.6E-03	orange
AT5G26230	MAKR1		-0.36	3.9E-01	-1.03	3.9E-04	orange
AT1G05210		"Transmembrane protein 97, predicted"	-0.06	9.7E-01	-1.03	3.5E-04	orange
AT4G33220	PME44	pectin methylesterase 44	-0.40	2.3E-03	-1.04	1.4E-14	orange
AT1G69530	EXPA1	expansin A1	-0.40	1.5E-01	-1.04	9.3E-16	orange
AT1G04570		Major facilitator superfamily protein	-0.08	9.4E-01	-1.04	8.5E-06	orange
AT4G03210	XTH9	xyloglucan endotransglucosylase/hydrolase 9	-0.01	1.0E+00	-1.04	1.5E-03	orange
AT5G01180	PTR5	peptide transporter  5	-0.18	9.0E-01	-1.04	1.7E-03	orange
AT4G03010		RNI-like superfamily protein	0.01	1.0E+00	-1.04	2.8E-03	orange
AT4G37225		other RNA	-0.54	3.8E-01	-1.04	2.8E-03	orange
AT4G16780	HB-2	homeobox protein 2	-0.39	2.1E-01	-1.04	3.1E-07	orange
AT5G18030		SAUR-like auxin-responsive protein family 	-0.37	9.4E-02	-1.04	8.8E-13	orange
AT4G29310		Protein of unknown function (DUF1005)	0.11	9.3E-01	-1.04	1.9E-05	orange
AT1G32100	PRR1	pinoresinol reductase 1	-0.31	1.8E-01	-1.04	3.5E-07	orange
AT1G25450	KCS5	3-ketoacyl-CoA synthase 5	-0.43	1.3E-01	-1.05	3.2E-04	orange
AT4G09420		Disease resistance protein (TIR-NBS class)	-0.42	7.2E-01	-1.05	1.1E-02	orange
